   26.934 -127.890
   27.107 -127.710
   27.281 -127.530
   27.455 -127.360
   27.628 -127.180
   27.802 -127.000
   27.976 -126.820
   28.149 -126.650
   28.323 -126.470
   28.497 -126.290
   28.670 -126.120
   28.844 -125.940
   29.017 -125.760
   29.191 -125.570
   29.365 -125.170
   29.538 -123.920
   29.712 -120.900
   29.886 -115.370
   30.059 -108.530
   30.233 -101.670
   30.407  -94.820
   30.580  -88.780
   30.754  -85.100
   30.928  -83.240
   31.101  -82.230
   31.275  -81.480
   31.449  -80.800
   31.622  -80.130
   31.796  -79.460
   31.970  -78.800
   32.143  -78.130
   32.317  -77.460
   32.490  -76.800
   32.803  -75.600
   32.977  -74.940
   33.150  -74.270
   33.324  -73.610
   33.498  -72.950
   33.671  -72.310
   33.845  -71.680
   34.019  -71.070
   34.192  -70.460
   34.366  -69.850
   34.540  -69.240
   34.713  -68.630
   34.783  -68.390
